order_id,product_id,quantity,discount,unit_price,sales_amount,cost_amount,profit
500001,20179,1,0.15,7535.2,6404.92,5294.95,1109.97
500001,20469,2,0.05,6155.87,11696.15,8425.88,3270.27
500002,20181,2,0.15,860.78,1463.33,1100.34,362.99
500002,20324,2,0.1,7296.57,13133.83,10915.54,2218.29
500003,20105,2,0.1,5227.99,9410.38,7812.18,1598.2
500003,20476,1,0.0,9643.22,9643.22,7716.94,1926.28
500004,20008,2,0.05,1993.65,3787.94,3211.28,576.66
500004,20353,1,0.0,5017.88,5017.88,3721.54,1296.34
500004,20342,1,0.05,2858.86,2715.92,2491.37,224.55
500005,20363,1,0.05,2285.72,2171.43,1966.91,204.52
500005,20239,2,0.1,1408.28,2534.9,1813.34,721.56
500006,20443,1,0.1,8117.64,7305.88,6013.15,1292.73
500006,20026,2,0.0,1107.1,2214.2,1896.32,317.88
500006,20379,1,0.1,3333.15,2999.84,2473.54,526.3
500007,20313,2,0.15,2734.75,4649.08,4517.2,131.88
500007,20093,1,0.2,1473.38,1178.7,1139.4,39.3
500008,20259,2,0.0,1079.09,2158.18,1707.24,450.94
500008,20349,1,0.05,5148.94,4891.49,4349.44,542.05
500008,20281,1,0.0,8239.83,8239.83,6606.57,1633.26
500009,20017,1,0.0,8301.57,8301.57,6900.18,1401.39
500009,20430,1,0.1,7015.59,6314.03,5023.97,1290.06
500010,20391,2,0.1,664.5,1196.1,911.48,284.62
500010,20378,1,0.05,6803.24,6463.08,5362.57,1100.51
500011,20039,2,0.05,3079.16,5850.4,4385.52,1464.88
500011,20159,1,0.15,2434.3,2069.16,1511.43,557.73
500012,20155,1,0.15,9732.86,8272.93,6550.43,1722.5
500013,20296,1,0.0,7035.7,7035.7,5614.2,1421.5
500013,20186,1,0.1,6187.94,5569.15,4103.43,1465.72
500013,20061,1,0.05,4394.73,4174.99,3037.05,1137.94
500014,20317,3,0.05,8124.11,23153.71,15462.36,7691.35
500014,20361,2,0.1,6046.68,10884.02,9398.18,1485.84
500014,20200,2,0.15,2059.29,3500.79,2647.24,853.55
500015,20125,1,0.0,5644.46,5644.46,3635.53,2008.93
500015,20432,1,0.15,2227.95,1893.76,1493.81,399.95
500016,20199,1,0.2,7156.52,5725.22,4957.74,767.48
500016,20430,4,0.05,7015.59,26659.24,20095.88,6563.36
500016,20079,3,0.15,1200.03,3060.08,3133.41,-73.33
500016,20418,3,0.1,1227.02,3312.95,2707.26,605.69
500017,20251,1,0.1,4332.93,3899.64,3056.5,843.14
500017,20182,4,0.2,4234.4,13550.08,12320.96,1229.12
500017,20352,1,0.0,8874.81,8874.81,6832.33,2042.48
500018,20225,1,0.15,4316.29,3668.85,2750.32,918.53
500018,20490,1,0.15,6695.83,5691.46,5637.67,53.79
500018,20019,1,0.05,2345.81,2228.52,1865.43,363.09
500019,20303,1,0.0,6557.64,6557.64,5544.64,1013.0
500019,20065,1,0.05,2115.35,2009.58,1803.08,206.5
500020,20089,2,0.05,1842.04,3499.88,2650.06,849.82
500021,20084,1,0.15,9637.44,8191.82,6284.96,1906.86
500021,20288,1,0.0,4136.9,4136.9,2876.21,1260.69
500021,20134,1,0.0,2762.57,2762.57,2216.36,546.21
500022,20367,3,0.05,7133.68,20330.99,17608.89,2722.1
500022,20005,1,0.0,5887.4,5887.4,4919.09,968.31
500023,20068,2,0.1,1322.15,2379.87,2001.48,378.39
500024,20246,1,0.05,2248.28,2135.87,1532.27,603.6
500025,20201,2,0.05,4165.69,7914.81,6853.42,1061.39
500026,20331,1,0.1,8194.64,7375.18,5699.39,1675.79
500026,20363,4,0.15,2285.72,7771.45,7867.64,-96.19
500026,20126,1,0.05,4304.98,4089.73,3477.41,612.32
500027,20468,2,0.0,9906.64,19813.28,15968.32,3844.96
500028,20407,1,0.1,10543.88,9489.49,7931.14,1558.35
500028,20098,1,0.1,7409.27,6668.34,6223.08,445.26
500029,20073,1,0.0,1245.32,1245.32,941.4,303.92
500030,20315,1,0.1,7246.43,6521.79,5621.01,900.78
500030,20117,1,0.0,2013.48,2013.48,1664.65,348.83
500031,20173,2,0.15,5321.75,9046.98,7312.54,1734.44
500031,20467,3,0.15,7320.97,18668.47,14474.49,4193.98
500031,20451,1,0.0,8229.18,8229.18,6860.72,1368.46
500031,20364,2,0.1,5121.97,9219.55,7924.46,1295.09
500032,20157,2,0.15,10110.2,17187.34,15621.42,1565.92
500032,20126,1,0.05,4304.98,4089.73,3477.41,612.32
500033,20056,1,0.05,4312.91,4097.26,2656.64,1440.62
500033,20259,1,0.0,1079.09,1079.09,853.62,225.47
500034,20221,1,0.05,1651.05,1568.5,1128.15,440.35
500035,20297,1,0.15,4912.42,4175.56,4147.8,27.76
500035,20431,1,0.1,6300.74,5670.67,4382.39,1288.28
500036,20380,1,0.0,3165.21,3165.21,2607.49,557.72
500036,20101,1,0.1,9030.69,8127.62,6268.47,1859.15
500037,20374,1,0.05,8902.81,8457.67,5853.21,2604.46
500037,20473,1,0.2,5839.57,4671.66,3572.29,1099.37
500037,20464,1,0.05,9579.47,9100.5,6560.38,2540.12
500038,20207,1,0.05,4750.5,4512.97,3079.81,1433.16
500038,20293,2,0.15,8752.84,14879.83,12944.32,1935.51
500038,20075,3,0.0,1228.65,3685.95,3248.13,437.82
500038,20136,2,0.0,8213.61,16427.22,10380.24,6046.98
500039,20479,1,0.05,4029.0,3827.55,2475.58,1351.97
500039,20444,1,0.1,5784.6,5206.14,4728.87,477.27
500039,20002,2,0.1,7514.84,13526.71,13030.52,496.19
500040,20079,1,0.0,1200.03,1200.03,1044.47,155.56
500040,20445,1,0.0,2462.9,2462.9,1525.05,937.85
500041,20236,1,0.05,4416.4,4195.58,2888.94,1306.64
500041,20224,1,0.0,7249.14,7249.14,5105.0,2144.14
500042,20193,1,0.05,7292.77,6928.13,5848.34,1079.79
500043,20193,1,0.15,7292.77,6198.85,5848.34,350.51
500043,20404,1,0.1,1561.43,1405.29,1376.63,28.66
500044,20258,1,0.05,3562.62,3384.49,2810.58,573.91
500044,20260,2,0.1,10264.98,18476.96,14607.14,3869.82
