product_id,product_name,category,sub_category,unit_cost,selling_price
20001,Cookware Set Prime,Home & Kitchen,Cookware Set,510.27,571.53
20002,T-Shirt Pro,Fashion,T-Shirt,6515.26,7514.84
20003,Air Fryer Pro,Home & Kitchen,Air Fryer,3559.01,4756.23
20004,Gym Gloves Pro,Sports,Gym Gloves,2828.26,4428.21
20005,Dinner Set X,Home & Kitchen,Dinner Set,4919.09,5887.4
20006,Toaster Max,Home & Kitchen,Toaster,5659.91,8002.83
20007,Sneakers Plus,Fashion,Sneakers,1729.43,2558.88
20008,Tennis Balls Prime,Sports,Tennis Balls,1605.64,1993.65
20009,Gym Gloves Lite,Sports,Gym Gloves,7671.48,10675.13
20010,Air Fryer Prime,Home & Kitchen,Air Fryer,4778.86,7660.73
20011,Football Classic,Sports,Football,3212.41,4470.01
20012,Sunscreen Max,Beauty & Personal Care,Sunscreen,6441.32,7751.36
20013,Self Help Book Pro,Books,Self Help Book,4272.5,6206.84
20014,Biography Prime,Books,Biography,2047.05,2935.2
20015,Backpack X,Fashion,Backpack,1772.87,2010.94
20016,Hair Dryer Pro,Beauty & Personal Care,Hair Dryer,3265.35,3813.98
20017,T-Shirt Max,Fashion,T-Shirt,6900.18,8301.57
20018,Jeans Classic,Fashion,Jeans,632.37,753.93
20019,Wireless Earbuds Lite,Electronics,Wireless Earbuds,1865.43,2345.81
20020,Webcam Pro,Electronics,Webcam,7161.24,9744.13
20021,Power Bank Prime,Electronics,Power Bank,1105.62,1456.11
20022,Management Book Prime,Books,Management Book,5092.56,8107.58
20023,Phone Case X,Electronics,Phone Case,1826.06,2637.59
20024,Keyboard X,Electronics,Keyboard,4906.05,7772.93
20025,Storage Box Plus,Home & Kitchen,Storage Box,3157.37,4418.21
20026,Jacket X,Fashion,Jacket,948.16,1107.1
20027,Programming Book Plus,Books,Programming Book,4722.43,6448.68
20028,Shampoo Lite,Beauty & Personal Care,Shampoo,5511.89,8574.72
20029,Water Bottle Classic,Home & Kitchen,Water Bottle,5490.14,6713.75
20030,Data Analytics Book Plus,Books,Data Analytics Book,5150.72,6017.81
20031,Phone Case Pro,Electronics,Phone Case,4076.76,5277.78
20032,Self Help Book Max,Books,Self Help Book,4227.86,5606.63
20033,Mouse Prime,Electronics,Mouse,5139.77,6590.81
20034,Moisturizer Pro,Beauty & Personal Care,Moisturizer,5568.54,6635.9
20035,Bluetooth Speaker Prime,Electronics,Bluetooth Speaker,5290.78,6629.06
20036,Biography Classic,Books,Biography,4757.52,7048.79
20037,Wireless Earbuds X,Electronics,Wireless Earbuds,1373.34,1819.05
20038,Phone Case Max,Electronics,Phone Case,1803.34,2624.31
20039,Cycling Helmet Pro,Sports,Cycling Helmet,2192.76,3079.16
20040,Headphones Max,Electronics,Headphones,7369.34,10398.12
20041,Yoga Mat Plus,Sports,Yoga Mat,6111.25,7649.64
20042,Face Serum Classic,Beauty & Personal Care,Face Serum,4490.0,6269.92
20043,T-Shirt Pro,Fashion,T-Shirt,2128.65,2410.71
20044,Coffee Maker X,Home & Kitchen,Coffee Maker,1020.5,1376.48
20045,Science Book Max,Books,Science Book,7205.26,10256.62
20046,Yoga Mat X,Sports,Yoga Mat,7157.43,8706.71
20047,Backpack Max,Fashion,Backpack,1018.96,1279.79
20048,Vacuum Cleaner Pro,Home & Kitchen,Vacuum Cleaner,6408.15,7922.73
20049,Storage Box Classic,Home & Kitchen,Storage Box,3656.16,4231.62
20050,Water Bottle Lite,Home & Kitchen,Water Bottle,2693.14,3512.84
20051,Jacket Pro,Fashion,Jacket,5951.97,9754.4
20052,Badminton Racket X,Sports,Badminton Racket,4972.49,6501.81
20053,Makeup Kit Lite,Beauty & Personal Care,Makeup Kit,6273.24,8557.23
20054,Badminton Racket Classic,Sports,Badminton Racket,733.48,1075.38
20055,Sunglasses X,Fashion,Sunglasses,2650.91,3880.15
20056,Vacuum Cleaner Classic,Home & Kitchen,Vacuum Cleaner,2656.64,4312.91
20057,Body Lotion Max,Beauty & Personal Care,Body Lotion,2738.56,4311.89
20058,Gym Gloves Pro,Sports,Gym Gloves,4094.47,6308.73
20059,Shampoo Classic,Beauty & Personal Care,Shampoo,2371.66,3852.44
20060,Headphones X,Electronics,Headphones,3638.41,4520.02
20061,Handbag Pro,Fashion,Handbag,3037.05,4394.73
20062,Mixer Grinder Prime,Home & Kitchen,Mixer Grinder,5922.07,9417.36
20063,Bluetooth Speaker X,Electronics,Bluetooth Speaker,4887.48,7090.72
20064,Moisturizer X,Beauty & Personal Care,Moisturizer,5280.99,8650.44
20065,Dinner Set Prime,Home & Kitchen,Dinner Set,1803.08,2115.35
20066,Self Help Book Prime,Books,Self Help Book,2705.19,3659.7
20067,Storage Box Lite,Home & Kitchen,Storage Box,316.15,517.85
20068,Jeans Plus,Fashion,Jeans,1000.74,1322.15
20069,Gym Gloves Classic,Sports,Gym Gloves,2230.68,3372.71
20070,Cookware Set Classic,Home & Kitchen,Cookware Set,663.89,754.25
20071,Football Lite,Sports,Football,4880.66,7263.71
20072,Sunscreen Max,Beauty & Personal Care,Sunscreen,7985.32,12899.1
20073,Exam Guide Classic,Books,Exam Guide,941.4,1245.32
20074,Water Bottle Prime,Home & Kitchen,Water Bottle,6596.66,7462.73
20075,Headphones Lite,Electronics,Headphones,1082.71,1228.65
20076,Sunglasses Classic,Fashion,Sunglasses,5408.83,8615.03
20077,Dumbbells Classic,Sports,Dumbbells,5198.79,7813.44
20078,Handbag X,Fashion,Handbag,7236.33,8513.86
20079,Vacuum Cleaner Lite,Home & Kitchen,Vacuum Cleaner,1044.47,1200.03
20080,Keyboard Prime,Electronics,Keyboard,2626.24,4061.63
20081,Coffee Maker Max,Home & Kitchen,Coffee Maker,862.62,1336.39
20082,Lipstick Classic,Beauty & Personal Care,Lipstick,3347.96,3963.57
20083,Webcam Max,Electronics,Webcam,7306.01,9350.27
20084,Toaster Plus,Home & Kitchen,Toaster,6284.96,9637.44
20085,Mouse Lite,Electronics,Mouse,5824.77,8145.76
20086,Shampoo Lite,Beauty & Personal Care,Shampoo,4334.27,7051.81
20087,Football Lite,Sports,Football,7085.36,9742.11
20088,T-Shirt Prime,Fashion,T-Shirt,3678.12,5439.16
20089,Keyboard Prime,Electronics,Keyboard,1325.03,1842.04
20090,Mouse X,Electronics,Mouse,6725.04,10893.03
20091,Handbag Lite,Fashion,Handbag,2345.16,3122.09
20092,Backpack X,Fashion,Backpack,571.02,709.09
20093,Shirt Prime,Fashion,Shirt,1139.4,1473.38
20094,Data Analytics Book Plus,Books,Data Analytics Book,4931.11,7751.56
20095,Exam Guide Pro,Books,Exam Guide,4915.59,6802.72
20096,Headphones X,Electronics,Headphones,2192.44,2867.17
20097,Webcam Classic,Electronics,Webcam,5858.36,8251.25
20098,Coffee Maker Lite,Home & Kitchen,Coffee Maker,6223.08,7409.27
20099,Shirt Pro,Fashion,Shirt,7375.95,8282.01
20100,Backpack X,Fashion,Backpack,4741.76,6015.92
20101,Face Wash Max,Beauty & Personal Care,Face Wash,6268.47,9030.69
20102,Headphones Prime,Electronics,Headphones,6061.83,9075.72
20103,Gym Gloves Max,Sports,Gym Gloves,2173.8,3387.01
20104,Hoodie Classic,Fashion,Hoodie,2585.27,4165.21
20105,Biography Pro,Books,Biography,3906.09,5227.99
20106,Shampoo Plus,Beauty & Personal Care,Shampoo,299.46,452.93
20107,Moisturizer X,Beauty & Personal Care,Moisturizer,2484.57,2881.05
